id,course_code,name,category,description,difficulty,duration_weeks,estimated_hours
30,WEB105,API Development with FastAPI & Python,Web Development,"Build lightning-fast async RESTful APIs with auto Swagger docs, Pydantic, and SQLAlchemy.",Intermediate,4,20
31,WEB106,Full-Stack Web Development with Django,Web Development,"Build secure full-stack web applications with Django ORM, authentication, and templates.",Intermediate,7,35
32,ML103,Natural Language Processing (NLP) with Python,Artificial Intelligence,"Tokenization, TF-IDF, Word Embeddings, Sentiment Analysis, and Transformers with HuggingFace.",Advanced,6,30
33,ML104,Computer Vision & OpenCV Essentials,Artificial Intelligence,"Image processing, object detection, segmentation, and CNN architectures using OpenCV and PyTorch.",Advanced,6,30
34,ML105,MLOps: Machine Learning Model Deployment,DevOps,"Model registry, automated CI/CD pipelines, Docker deployment, and drift monitoring.",Advanced,6,35
35,CS104,System Design & Distributed Architecture,Software Engineering,"Load balancers, caching strategies, horizontal scaling, database sharding, and message queues.",Advanced,8,40
36,ML106,Reinforcement Learning Foundations,Artificial Intelligence,"Markov Decision Processes, Q-Learning, Deep Q-Networks (DQN), and Policy Gradients.",Advanced,6,30
37,DA104,R Programming for Statistical Computing,Data Analytics,"Data manipulation with dplyr, ggplot2 graphics, and statistical model fitting in R.",Intermediate,5,25
38,DE101,Apache Spark for Big Data Analytics,Big Data,"Distributed dataframes, Spark SQL, PySpark processing, and streaming pipelines.",Advanced,6,30
39,DE102,Big Data Infrastructure with Hadoop & Hive,Big Data,"HDFS architecture, MapReduce paradigms, data warehousing with Apache Hive.",Advanced,7,35
40,DE103,Event-Driven Streaming with Apache Kafka,Big Data,"Producers, consumers, Kafka brokers, event streaming, and real-time data integration.",Advanced,5,25
41,CS105,Microservices Architecture & Design Patterns,Software Engineering,"Service discovery, API gateway pattern, event-driven decoupling, and fault tolerance.",Advanced,6,30
42,SEC102,Ethical Hacking & Penetration Testing,Cybersecurity,"Vulnerability assessment, network sniffing, exploit frameworks, and security auditing.",Intermediate,7,35
43,SEC103,Cloud Security Architecture & Compliance,Cybersecurity,"IAM policy hardening, VPC isolation, zero-trust models, and cloud compliance auditing.",Advanced,6,30
44,DA105,"Data Governance, Ethics & Quality Control",Data Analytics,"Data lineage, privacy regulations (GDPR/HIPAA), data cataloging, and quality frameworks.",Intermediate,4,20
45,MGMT101,Agile & Scrum Methodologies for Teams,Management,"Scrum ceremonies, user stories, backlog grooming, sprint velocity, and Kanban.",Beginner,3,15
46,WEB107,Next.js Framework & Server-Side Rendering,Web Development,"App Router, SSR, SSG, API routes, and full-stack React performance optimization.",Intermediate,5,25
47,WEB108,TypeScript Essentials for Enterprise Apps,Web Development,"Static typing, interfaces, generics, type guards, and TypeScript integration in React/Node.",Intermediate,4,20
48,DB104,PostgreSQL Query Tuning & Optimization,Databases,"EXPLAIN ANALYZE, custom indexing, table partitioning, and high-performance tuning.",Advanced,5,25
49,DB105,NoSQL Databases with MongoDB,Databases,"Document stores, BSON schemas, aggregation framework, and replication sets.",Intermediate,4,20
50,ML107,Generative AI & Prompt Engineering,Artificial Intelligence,"LLM architectures, prompt design techniques, RAG pipelines, and API integrations.",Intermediate,4,20
51,MGMT102,Product Management Essentials for Tech,Management,"Product strategy, roadmapping, feature prioritization, customer feedback loops, and analytics.",Intermediate,5,25
52,DE104,Data Engineering Pipelines with Apache Airflow,Data Analytics,"DAG workflow orchestration, task dependencies, custom operators, and data ETL pipelines.",Advanced,6,30
